n m sin_podas poda_A poda_B ambas_podas
10 16 610223 584324 4.03827e+08 3.77388e+08
5 10 55832 49781 50279 49643
12 18 717817 702742 4.20113e+10 3.97603e+10
6 8 89059 83772 1.3109e+06 1.22414e+06
6 15 87401 82312 82776 82237
9 31 278714 271079 268112 267586
5 2 55127 50885 65217 51667
6 8 86394 81658 625116 565052
10 27 400228 402484 7.29506e+09 7.10847e+09
9 14 296658 280228 1.59605e+08 1.49926e+08
9 4 283067 275386 2.46976e+06 1.97802e+06
6 6 86196 80744 329915 289848
12 54 708270 675721 661330 660756
10 16 391568 383391 3.95156e+08 3.8179e+08
9 11 289959 280941 1.22214e+08 1.13118e+08
10 0 386353 12908 25297 12772
9 13 287776 278863 1.66732e+08 1.60344e+08
8 19 205676 193485 9.94837e+07 9.61467e+07
3 2 17177 14150 12955 12298
11 20 539425 529391 1.33494e+10 1.23669e+10
8 26 197473 189903 181738 186497
10 16 396899 388313 3.98095e+08 3.82426e+08
5 7 53536 49185 104671 97408
3 2 16844 14001 12808 12240
4 3 30895 27742 35623 30057
5 7 52935 49189 44679 44146
6 2 87183 82826 86372 65930
6 1 85740 81229 25576 18113
5 6 53303 49036 44284 43783
7 11 132028 132958 7.47135e+06 7.10096e+06
11 25 527859 517905 2.12983e+10 2.07243e+10
6 8 89751 83997 1.3159e+06 1.21915e+06
10 16 395907 394850 4.02976e+08 3.8032e+08
12 18 722902 707655 4.22065e+10 3.97211e+10
5 10 54340 49310 49599 48871
9 11 292141 279190 1.20575e+08 1.12057e+08
3 2 17096 14076 13994 12253
12 61 684618 668494 679455 668885
3 3 16584 13621 14044 13505
8 24 192417 186327 178376 177856
7 14 131732 125998 173091 165596
7 11 132569 126606 7.46917e+06 7.07676e+06
2 1 8013 5734 6060 5492
9 13 280106 273165 1.57854e+08 1.53508e+08
10 26 386880 378834 8.22799e+09 7.94977e+09
2 1 8734 5988 6363 5687
2 1 7888 5717 6189 5669
10 42 386059 377513 397250 396633
12 29 712963 700510 2.90849e+11 2.82981e+11
3 3 18513 14303 14649 13917
4 4 32075 28482 26879 26178
5 6 54377 50218 66511 62104
10 27 393819 385100 7.24911e+09 7.06834e+09
8 14 198209 191905 3.53685e+07 3.34365e+07
6 2 88054 83484 86922 66595
7 17 132818 127187 470826 457454
11 52 521381 511381 498946 498333
6 6 87316 82525 335845 295815
7 14 135082 129635 177918 170369
6 6 90137 84211 416306 361513
2 0 8204 2399 3212 2195
11 47 522589 512838 508143 506404
4 0 31962 4157 6540 4029
11 20 534199 533250 9.50822e+09 9.17503e+09
4 5 31710 28132 26456 25826
12 36 713599 698528 7.17684e+11 7.0794e+11
3 3 17975 14151 14432 13789
3 2 17304 14227 14201 12493
9 6 288299 281351 5.76031e+06 4.99436e+06
8 20 197595 191078 1.21464e+08 1.18271e+08
11 33 532982 523072 7.75353e+10 7.6156e+10
10 44 389402 378766 379348 378668
4 1 32409 29287 14630 10967
9 1 306809 287000 51207 34052
8 5 204152 196939 394167 336672
3 1 17332 14510 10335 8213
9 13 287952 280586 1.66601e+08 1.60358e+08
4 0 31250 4082 6404 3996
9 2 277696 270840 182667 128303
2 0 8131 2385 3196 2203
8 0 195244 9384 17246 9251
6 1 87218 82691 25838 18369
2 0 7947 2269 3130 2204
12 59 689370 683418 671817 669869
2 1 8321 5851 6229 5727
9 8 285489 277875 3.24231e+07 3.09203e+07
7 6 134774 129528 979580 874568
10 19 390104 397706 1.70567e+09 1.63399e+09
10 38 388159 379911 3.84162e+06 3.77632e+06
12 64 689280 677676 671106 670569
8 19 199583 190869 217484 221989
11 42 522957 513831 1.70078e+11 1.66221e+11
7 3 135011 138374 251397 206145
11 52 522984 511902 499429 498841
3 3 17286 14303 14714 14036
10 44 386396 378086 378734 386687
7 19 134232 127991 128504 128037
2 1 8220 5896 6159 5627
9 31 278522 271325 262047 261530
9 6 285611 277973 5.75533e+06 5.01745e+06
12 3 690868 680673 317500 237070
9 2 279905 280713 185052 129869
7 9 135184 129748 4.2296e+06 3.9978e+06
7 2 132346 127355 57846 45206
3 1 17243 14578 10269 8487
5 9 55259 50493 50770 50199
6 10 88677 82602 87430 84719
10 16 399140 390863 1.89693e+09 1.81245e+09
9 9 287722 280771 3.77566e+07 3.4596e+07
3 3 16868 13998 14388 13847
11 4 526889 518397 1.4112e+06 1.09698e+06
3 2 16628 13864 12706 12239
6 8 87143 81087 620263 558646
12 12 699785 688413 1.14197e+09 1.06721e+09
12 1 689907 678243 85880 54466
3 2 17357 14184 12938 12314
6 0 87148 6504 11181 6380
8 0 196306 9495 17367 9307
5 1 53562 49662 19348 14351
12 2 684967 691009 157180 115236
9 8 282082 274937 2.88405e+07 2.57259e+07
