m t_B1 t_G1 t_B2 t_G2
0 35637 34823 13780 13465
1 34212 33714 14395 13919
2 34215 33934 14775 14387
3 34767 34471 15273 15021
4 35718 35678 16065 15755
5 35241 34916 16244 15786
6 35641 35094 16984 17029
7 39158 39364 19931 19305
8 39087 39329 20463 19959
9 40370 40185 22296 21329
10 40821 41198 22554 22125
11 45029 45296 25203 24703
12 44233 44827 25513 25196
13 43626 44091 26658 26505
14 46119 47166 28736 28676
15 46878 47272 29811 29899
16 50145 50641 32765 32845
17 50393 52313 35059 35492
18 54039 56880 37843 38029
19 57465 58962 41400 42306
20 61499 61034 44031 45417
21 61535 64338 44249 45778
22 62786 64788 44908 47100
23 62977 65546 45686 48131
24 63657 65253 45571 47027
25 64436 67346 46753 48005
26 64069 68560 48393 50659
27 64711 66023 49157 51699
28 63149 66977 48487 52071
29 67352 70563 51431 53854
30 64552 68853 49745 54110
31 69510 72869 51658 54365
32 65679 67315 52066 55583
33 68242 71668 54843 58694
34 69251 72093 53493 56302
35 70364 72943 53878 56690
36 67362 73670 53268 57729
37 70823 75014 55181 60105
38 70874 75963 54607 59104
39 70705 74784 56163 62641
40 73948 79057 57780 64949
41 71717 79659 57825 64121
42 71670 80149 59968 63484
43 73777 78619 58976 65110
44 75306 83017 58096 63441
45 72442 76716 61242 66684
46 80557 87817 65248 71014
47 79122 85253 65387 71355
48 78167 84012 61690 69738
49 82180 87860 64291 69159
50 78149 83741 65524 71301
51 77600 85922 63756 71535
52 76315 80930 62799 67824
53 74529 81569 65090 67825
54 73058 79909 61082 66308
55 75374 78977 56973 62289
56 78469 85110 61764 69214
57 74397 80420 59269 67542
58 77838 83167 61493 68496
59 76944 83858 61718 70035
60 79858 84996 61157 68531
61 77678 83823 67195 75647
62 74022 85989 61670 67329
63 76352 84326 62141 69134
64 79074 84544 62291 66544
65 76019 82827 60043 67308
66 78199 84492 60702 69548
67 79671 83740 61246 67531
68 80778 88830 62521 70513
69 85471 88262 66750 76365
70 78642 85101 63941 70827
71 79455 85404 65974 75003
72 79826 87043 62888 69596
73 78227 84535 63089 71046
74 76125 82891 63454 70399
75 83547 89726 63106 69891
76 78055 88208 62253 70602
77 81979 88970 65616 75416
78 84841 92067 65778 73031
79 90950 98638 73032 84096
80 98395 105136 75384 86190
81 88879 94360 73442 80843
82 92596 101527 72550 80268
83 84611 97090 68947 81083
84 91921 100678 71323 82351
85 91247 98211 71528 79874
86 90334 97527 69092 80834
87 87307 94837 77187 84723
88 96292 101025 75942 83304
89 91791 100786 72166 82344
90 93076 99397 75080 86815
91 88619 97971 71101 80636
92 90614 101930 71799 84191
93 88401 100479 72328 81295
94 92375 103067 71522 83237
95 92389 99164 70279 80603
96 90834 95081 70216 81478
97 84382 97702 73066 80280
98 89306 98903 71100 81340
99 91847 103877 74776 86186
100 95462 99763 71788 83072
101 94334 102041 68617 78524
102 96686 104619 77714 85199
103 89605 101915 74878 83296
104 92618 98215 70689 79565
105 94293 104484 78162 88379
106 97406 107889 76200 88140
107 94313 104113 78538 89996
108 99352 111479 75446 85458
109 103657 106596 72555 86994
110 94607 105397 78999 88695
111 99492 110234 79302 90420
112 101856 108211 80405 88819
113 102334 107469 75735 84948
114 99652 108882 80345 90892
115 101898 110949 80761 92778
116 96998 105565 85183 94012
117 100092 108465 81186 96953
118 98760 112302 81697 93985
119 108497 115746 86800 99191
120 98548 109108 77155 90105
121 104854 116615 81310 93660
122 103701 113145 79874 90820
123 105748 115141 84689 96352
124 103955 114548 87246 97550
125 108722 119341 80352 93779
126 109228 124255 84853 95166
127 108757 118272 83895 97517
128 109864 124840 87408 99805
129 109991 116148 81837 95402
130 114966 122164 90466 102652
131 110432 123837 89128 103294
132 113860 118881 87868 101314
133 111529 120358 78097 89899
134 108592 119058 86871 97714
135 108232 117107 79860 91273
136 112850 121239 91056 101727
137 121831 128607 94361 106088
138 114481 119935 96656 108715
139 121111 135172 98822 107306
140 118541 129217 95177 109805
141 118247 124478 88108 105791
142 123075 124080 89324 103389
143 118859 126128 89486 98605
144 116955 124822 91830 103500
145 121342 126879 93533 105648
146 115724 127638 89520 102197
147 124974 134354 92461 103808
148 123929 136078 98973 111492
149 131739 139581 97662 113138
150 127576 136562 99259 112276
151 137667 144510 98812 118946
152 144365 150168 101224 114286
153 127951 141060 111022 124716
154 144075 159643 110645 131633
155 143703 155025 116830 132355
156 144681 157089 114432 122042
157 143344 147145 110492 120707
158 153494 160372 109182 122351
159 140975 154044 110167 122002
160 147576 154523 104658 114589
161 140233 149246 113939 126004
162 138618 145162 105651 116251
163 143888 151110 107177 120828
164 129971 137367 95375 112826
165 139829 145118 98202 111236
166 132588 144103 98397 109946
167 135307 148251 101594 114978
168 135834 142432 100620 121549
169 133728 141566 105252 119562
170 139191 143462 102127 112491
171 128281 133996 96918 108970
172 131766 144157 99644 113979
173 146367 159610 108579 123129
174 145900 146687 109654 121529
175 143475 151656 107391 122844
176 145685 156971 105243 120351
177 138929 146637 103195 113643
178 136793 147002 103856 114795
179 145927 155213 106937 124116
180 140347 152328 110102 126180
181 138215 150679 107129 118881
182 140872 149970 105087 121963
183 136555 153972 113363 131736
184 147012 154868 107210 123693
185 141963 149763 113124 127344
186 148386 151187 110108 122752
187 135976 151366 105286 119379
188 151160 150659 101055 112514
189 170644 172475 119245 135349
