nm t_B1 t_G1 t_B2 t_G2
5 8089 7678 3396 3177
6 8885 8616 3759 3677
7 9673 9449 4299 4092
8 15397 14913 7075 7025
9 18863 18466 9214 8616
10 20607 19778 10090 9590
11 20235 19739 10727 11420
12 19936 19470 10220 9840
13 21886 21442 11360 11129
14 20615 20235 11127 10651
15 23299 22421 13079 12257
16 23849 23590 13241 12970
17 25794 25233 14908 13708
18 25560 25463 14629 14365
19 26329 26171 14734 14523
20 28515 27751 15557 15053
21 29579 28907 16705 16311
22 32439 32205 18041 18212
23 33322 33142 19325 18865
24 34544 34123 19290 18943
25 35619 35168 20107 19931
26 37100 37189 21206 20985
27 37070 38036 21031 20950
28 38439 38488 22106 21976
29 41774 42657 24032 24019
30 42535 42862 24477 24048
31 43095 43372 24732 24564
32 43768 44982 26878 27218
33 47353 48254 28107 27754
34 47534 47754 28737 28210
35 49061 49228 29601 29780
36 48562 49393 30702 31298
37 49735 50547 31517 31796
38 53447 55245 33286 34133
39 53432 54627 34751 35462
40 57219 58667 37029 37750
41 55981 58053 38880 39898
42 58381 59298 41269 42722
43 63172 62526 43659 44027
44 66643 68661 45952 47683
45 69158 72201 46956 48955
46 69615 71700 48320 50092
47 70909 72267 49480 52287
48 67680 70366 50621 52555
49 67265 69886 50959 53867
50 66138 66235 49009 51107
51 65262 71835 50005 53120
52 68709 69682 49835 52469
53 64854 68383 48358 50948
54 68315 71861 50417 55224
55 66732 71427 50653 54854
56 68903 73284 52137 54703
57 69515 73648 56559 59138
58 68639 73679 53494 58146
59 70348 73524 53739 57897
60 73858 76499 54920 58844
61 72730 77589 56874 59987
62 70836 78891 54596 59844
63 70477 75785 56396 61036
64 71855 79027 56444 62968
65 71635 74623 58055 63214
66 76517 78353 58206 64195
67 75626 81351 61159 69286
68 80199 85924 63329 69162
69 79437 86336 65921 69696
70 81422 86066 60953 68113
71 79419 88163 60471 67533
72 78085 82209 65464 71089
73 82199 90043 68378 74464
74 83089 87657 67115 71283
75 80007 87079 66754 72626
76 79072 87859 65156 72021
77 79418 85401 65371 70084
78 76977 83988 59157 66652
79 77104 83973 61824 69906
80 80210 84180 64653 73894
81 80537 86153 62981 70454
82 76236 85901 63243 67269
83 78745 85404 61556 67425
84 79067 85375 62794 69103
85 82289 85443 62251 70481
86 78738 87397 60954 69265
87 76796 89625 65659 75827
88 81835 85329 68503 74254
89 82812 91389 64670 73718
90 79335 87396 67051 73949
91 82585 88094 63254 69186
92 80287 89616 66335 72242
93 79890 85671 61124 68602
94 83671 85074 63577 71007
95 83208 89141 62465 72290
96 85319 89261 66170 74043
97 81851 89726 69352 74256
98 80911 88389 64860 72400
99 82091 86565 66493 76044
100 84195 91669 66620 74338
101 83375 88436 63604 73098
102 82469 92443 65368 74659
103 82806 93750 69832 76927
104 88171 95840 72155 81023
105 90542 97962 70118 80283
106 90782 102971 74472 84871
107 94116 100148 74956 85035
108 91696 99933 71767 83710
109 90504 98273 70895 78858
110 91572 103403 75383 84572
111 93973 98786 73347 80918
112 90024 98941 73516 81617
113 92945 98990 74503 79235
114 93082 103980 73300 82773
115 96692 104827 78116 90202
116 90534 99528 71142 85201
117 98855 104688 76472 85698
118 92423 102037 72607 82893
119 93825 99105 74208 83382
120 87083 93967 69936 81285
121 91856 100114 73854 81105
122 91432 104550 76444 85727
123 92991 100522 72730 85419
124 95330 103569 70894 81683
125 90654 102600 74062 89533
126 91790 98393 72343 85370
127 96018 107137 73882 85518
128 94104 104549 75911 84657
129 96668 107769 72489 82575
130 97294 105574 75787 82256
131 92580 101555 72910 83501
132 93767 106086 75005 84865
133 97959 107594 78298 90534
134 99329 107715 78738 90183
135 98312 106989 80691 89449
136 98268 107114 78131 88987
137 103841 114128 81837 95305
138 105512 112569 82834 91958
139 101145 116503 78975 92829
140 106166 113263 83775 94298
141 109701 113707 83192 88317
142 104411 110859 86987 96029
143 104474 114900 87350 99050
144 109194 119371 90326 103965
145 118004 124534 91989 105162
146 110099 121121 81932 96558
147 110026 118160 83690 95897
148 106359 120214 82666 95562
149 102994 114380 85969 97844
150 107492 114276 81896 93151
151 109984 117693 85399 99806
152 102291 115526 82770 94744
153 105150 115334 82878 96481
154 115569 123099 93194 107761
155 115821 133783 87541 99806
156 114518 122746 90896 105293
157 115675 128906 88288 102535
158 116724 124765 88810 101713
159 111336 120954 87360 98630
160 117128 126151 86452 95308
161 108674 118084 83937 98568
162 108501 116680 86330 98022
163 116793 124473 87388 97209
164 112855 119959 93076 108484
165 113118 121634 88803 99426
166 119544 129826 94378 101782
167 108788 114995 90108 100586
168 119160 128717 86693 101309
169 120641 123846 97543 110707
170 119457 129274 88427 100668
171 125616 132601 98134 109602
172 130490 137210 99480 111603
173 136868 145011 105847 120877
174 137600 143541 106837 120349
175 144228 154660 109559 127330
176 143770 159098 109285 125953
177 149089 160662 115976 129118
178 142034 157024 106454 123415
179 144059 149878 114675 126912
180 145560 157826 111093 129248
181 138977 152189 115314 131775
182 145508 154162 105367 119384
183 143708 155768 115382 127535
184 148803 154118 104300 119209
185 134467 140824 105766 113916
186 131588 139376 89472 98849
187 130804 142328 100022 113281
188 140244 147964 100649 116073
189 140367 150892 100621 113460
190 136187 142805 99014 105308
191 148522 157017 111607 121128
192 144592 154587 107446 124062
193 147625 151664 106523 121793
194 145931 147952 112792 126152
195 144843 152883 112727 127687
196 145456 153228 105357 125954
197 135506 153386 107682 122396
198 147239 149795 107533 122122
199 139227 145885 104914 116208
200 137726 142144 100177 110556
201 131579 145343 96948 115536
202 136800 140728 103834 116946
203 134473 149717 102419 118002
204 133758 147018 107140 121899
205 140455 146055 109154 126358
206 142019 150664 103779 116806
207 134799 147975 103897 123103
208 137327 150637 103783 116910
209 137386 151823 106509 124748
210 142874 145890 101376 114223
211 151387 162949 119763 130750
212 154388 164119 113351 127848
213 155725 157797 112430 128235
214 153058 164138 120831 130227
215 148986 162431 109590 123690
216 163253 169615 120892 135138
217 156606 168413 126807 148249
218 177529 174446 125746 138280
219 171603 174370 130417 145425
220 169637 180062 125295 142657
221 165630 182790 130430 143080
222 174141 188362 128911 144891
223 184814 182675 133576 143790
224 173626 184182 137163 157655
225 166311 178193 128019 140312
226 154726 166478 119902 134458
227 166247 174616 123839 140809
228 165288 168762 120737 134989
229 168993 166175 123759 135452
230 154224 168987 116313 126208
231 140369 151486 111579 120077
232 158034 166248 110529 121470
233 156166 168434 108925 117244
234 155262 168726 112773 128230
235 147696 154046 117474 138387
236 146020 156820 107295 116706
237 146159 155719 116952 135734
238 150911 157589 112454 129017
239 148012 157291 108449 121045
240 146932 154598 116474 129373
241 148664 153499 105921 116118
242 152596 165864 116955 129748
243 146569 153364 105886 120797
244 154457 167992 125811 140041
245 162699 161097 108405 123544
246 146045 158570 111932 126547
247 161923 169751 117881 131611
