m n_v111 n_v112 n_v121 n_v122 n_v211 n_v212 n_v221 n_v222
4 14.2308 14.0769 14.1923 14.2692 14.1538 14.1923 14.4615 14.3846
5 13.5769 13.5385 13.7308 13.7308 13.5385 13.5769 13.9231 13.7308
6 13.1538 13.1923 13.4231 13.5385 13.1154 13.0000 13.3846 13.4615
7 12.4231 12.3462 12.5769 12.4615 12.5000 12.3846 12.5385 12.6154
8 12.0000 12.1154 12.1923 12.2692 11.9615 12.1923 12.2692 12.3846
9 11.8462 11.8846 11.8846 12.0385 11.8077 11.6538 11.9615 11.7692
10 11.0000 10.8846 11.4615 11.5000 11.2308 11.0385 11.5385 11.3846
11 11.2400 11.3200 11.7600 11.6000 11.4400 11.2800 11.6000 11.5600
12 11.0400 10.5200 11.2800 11.4400 11.1200 11.1200 11.1200 11.4400
13 10.6000 10.2400 10.9600 10.8400 10.6000 10.5200 10.9200 11.1600
14 10.6400 10.2800 10.5200 10.8400 10.6400 10.6800 10.7200 11.1200
15  9.8800 10.0800 10.7200 10.3600  9.9200  9.8800 10.3200 10.6000
16 10.2083 10.1667 10.3750 10.6250 10.4167 10.4167 10.8333 10.7500
17 10.1250  9.6667 10.0833 10.3333  9.5833  9.9583 10.0000 10.0833
18  9.8750  9.9583 10.2083 10.2083  9.9167  9.6667 10.2917 10.2083
19  9.1667  9.7917 10.3750 10.2917  9.7083  9.8750  9.7917 10.2083
20  9.2917  9.1667  9.4583  9.0833  9.2500  9.7500  9.7500  9.3750
21  9.2917  9.2083  9.2917  9.2500  9.0417  9.0833  9.3333  9.2917
22  9.2174  9.3478  9.3478  9.5652  9.3478  9.5652  9.3913  9.8261
23  9.7826  9.3913  9.4348  9.1304  9.2174  9.0870  9.0000  9.3478
24  8.9130  9.2609  9.2609  9.3913  9.0870  9.3043  9.2609  9.4348
25  8.9130  9.0000  8.9565  9.0435  8.7391  8.6957  9.0000  8.9565
26  8.4783  8.3043  8.4348  8.7826  8.5217  8.6087  8.5652  8.5652
27  8.9565  8.7826  8.6522  8.8261  8.5217  8.3913  8.6957  8.5652
28  8.0000  8.2174  8.4348  8.3478  8.3043  7.9565  8.4348  8.4348
