n+m n_v111 n_v112 n_v121 n_v122 n_v211 n_v212 n_v221 n_v222
5  5.0000  5.0000  5.0000  5.0000  5.0000  5.0000  5.0000  5.0000
6  5.0000  5.0000  5.0000  5.0000  5.0000  5.0000  5.0000  5.0000
7  5.3333  5.3333  5.3333  5.3333  5.3333  5.0000  5.0000  5.3333
8  5.2500  5.2500  5.2500  5.2500  5.2500  5.2500  5.2500  5.2500
9  5.8000  5.8000  5.8000  5.6000  5.8000  5.8000  5.8000  5.8000
10  6.0000  5.5000  5.8333  6.0000  6.0000  5.6667  5.6667  5.6667
11  6.0000  6.0000  6.0000  6.0000  6.0000  6.0000  6.0000  6.0000
12  6.1250  6.0000  6.1250  6.3750  6.1250  6.1250  6.5000  6.0000
13  6.5556  6.5556  6.5556  6.6667  6.5556  6.5556  6.7778  6.4444
14  6.8000  6.6000  7.2000  6.7000  6.8000  6.8000  7.5000  7.1000
15  7.0000  7.1818  7.0909  7.2727  7.0000  7.0909  7.0909  7.0909
16  7.7273  7.9091  7.8182  8.0909  7.7273  7.8182  8.0909  8.0000
17  8.5000  8.3333  8.6667  8.6667  8.5000  8.2500  8.2500  8.5833
18  8.7692  8.6923  8.6923  8.8462  8.7692  8.8462  8.7692  8.8462
19  8.9286  8.7857  8.9286  9.2143  8.9286  8.9286  9.1429  8.9286
20  9.1333  9.0667  9.2667  9.1333  9.1333  9.2000  9.2667  9.2000
21  9.5625  9.4375  9.6250  9.7500  9.5625  9.6875  9.6875  9.6875
22 10.5000 10.5000 10.9375 10.6250 10.5000 10.6250 10.5625 10.6250
23 10.8824 10.7059 10.8235 10.7059 10.8824 10.8235 10.9412 11.0588
24 10.7778 10.7222 11.0556 11.1111 10.7778 10.9444 11.0000 11.1111
25 11.3158 11.1579 11.4737 11.5263 11.3158 11.2105 11.3684 11.4211
26 11.5500 11.5500 11.5500 11.7000 11.5500 11.5000 11.8000 12.0000
27 12.1429 12.0476 12.2857 12.4286 12.1429 12.2381 12.3333 12.4286
28 12.0000 12.2273 12.2727 12.4091 12.0000 12.3182 12.3182 12.3182
29 13.0909 12.9545 13.0000 13.1818 13.0909 13.0909 13.2727 13.3636
30 13.3478 13.4783 13.3913 13.5217 13.3478 13.4348 13.8261 13.5217
31 13.1304 12.7826 13.0000 13.0870 13.1304 13.0435 13.0435 13.0000
32 12.8696 13.0000 12.8261 13.0000 12.8696 12.6522 13.0435 13.1739
33 12.3478 11.9565 12.4783 12.3043 12.3478 12.0435 12.4348 12.6522
