m t_v111 t_v112 t_v121 t_v122 t_v211 t_v212 t_v221 t_v222
0  207979  202240  192977  194936  139387  139094  134815  134299
1  215183  214323  213931  214258  146641  145466  141283  140430
2  220915  220078  217251  214643  150539  149036  148278  147761
3  227167  223795  224588  224016  155002  154952  154388  156417
4  242123  243478  246042  245637  163765  167355  170215  168507
5  242724  242699  253831  253931  165311  164320  172487  178073
6  255908  251657  263870  267243  172374  175757  181113  184086
7  268520  272793  277218  285108  190056  193631  200916  199758
8  259831  264108  280191  292902  186172  187087  196204  200741
9  315822  325107  333559  353852  215112  222129  222739  234293
10  278371  294400  303450  330677  188444  198266  205058  217632
11  312692  325129  331446  344146  207282  213805  219090  237057
12  329240  320468  326394  334547  209100  219121  227695  239659
13  332472  352243  358585  380599  216050  235252  234122  246691
14  343529  357749  354403  368786  230386  238653  234845  248115
15  362764  381588  368292  380913  229364  245115  237031  248715
16  386505  400316  387643  416917  246129  269412  265109  271674
17  383324  407007  400233  427265  255031  267554  260605  270867
18  385004  405365  389646  411788  252871  263560  262316  272165
19  383746  421106  397962  424542  248382  275093  261389  280758
20  402745  419263  410710  437938  261309  278009  275521  287190
21  399634  415173  399514  423700  259750  273018  262549  268819
22  449788  466044  444058  462425  278789  291430  279760  298762
23  486884  500058  473230  525346  305538  319345  310044  322722
24  425127  468803  454899  476579  282237  302019  292735  308101
25  434362  446732  427585  448907  271066  278870  271210  282523
26  436983  469917  450270  482451  295764  310812  293820  311027
27  497227  536194  510357  544898  311869  328180  318793  340170
28  449777  451541  437308  451642  274559  286530  281809  292501
29  510772  539301  522181  536566  330528  345172  334405  354458
30  529391  542088  521223  537686  321830  337426  332573  349705
31  537584  556947  527198  560697  329260  340618  336558  348971
32  543749  586714  540053  591301  349753  366417  345196  366079
33  517137  544536  530689  545893  338025  348734  333733  356844
34  540734  573903  531734  552019  330682  351372  337460  353309
35  516143  530536  505919  519726  327261  337588  315910  340626
36  551209  565251  531352  560134  331194  350630  334848  359420
37  663730  682029  622427  677521  399394  416859  389202  413393
38  577257  598239  550715  586686  348937  371799  352526  371209
39  580113  607617  570560  620410  354251  376564  357658  378395
40  619825  678024  636738  663670  396124  408062  385969  410770
41  584970  620335  564982  596794  351350  383841  366764  377413
42  607464  624846  600312  637301  385491  390436  373849  386338
43  581823  620833  578179  599059  354166  375137  348873  379290
44  603584  617137  568436  615470  356259  375732  356554  386516
45  576041  618845  570926  595591  358297  370973  356848  376713
46  667933  715360  667142  701408  404955  439439  410337  428786
47  640928  668040  626605  674689  391438  408686  385404  398823
48  643282  687327  633004  701409  391765  411257  386333  407780
49  657291  699134  659818  697531  422760  432133  406444  431265
50  683824  722490  668806  700548  406909  430375  393142  414772
51  740121  754287  704204  757212  437152  457284  432789  452732
52  652073  684393  630188  674068  403527  414445  400213  416994
53  682508  701802  668610  684533  403131  422941  401943  414739
54  683236  691947  639773  688831  411607  427281  405472  425521
55  651252  667081  626514  672014  389861  406113  381213  402255
56  729637  746096  696172  728871  442812  441389  428697  442350
57  781602  804570  760521  793320  458860  479396  465059  474578
58  716024  745243  684711  742959  418023  443556  425756  445849
59  742444  782695  731423  776299  445280  457638  425550  441490
60  731324  780430  718088  756176  438717  448700  413142  431217
61  737295  745933  723604  748887  444872  455106  432516  442851
62  816529  858885  792476  842046  481736  494776  476664  498913
63  722684  745823  723246  762767  425022  442855  417984  446740
64  707999  752818  683703  721323  415073  443117  413943  430657
65  801249  834471  782876  801434  461542  478903  449630  487327
66  716668  744850  706694  765580  440037  459959  425335  451403
67  837642  856757  792475  864867  487162  492247  476345  498431
68  793105  856928  821201  877118  495188  519395  453058  488609
69  853846  901689  823644  890839  504043  516941  468750  498479
70  888266  885197  827169  847766  489743  518317  490207  497956
71  827222  858140  804519  860913  489576  519479  463853  494863
72  807979  831547  774827  817104  468639  493989  464981  486323
73  818629  867994  803283  847542  484359  507422  459687  496995
74  766664  796839  753949  778770  449204  475348  436512  459982
75  822100  834126  772326  790676  456145  480878  468455  484522
76  832440  902935  815965  831899  472719  495277  465944  477537
77  820579  850415  791521  836204  484816  510974  471928  482632
78  823604  856004  786218  811609  468255  484243  445768  477432
79  881111  928522  842223  886686  529538  540987  500830  528210
80  898934  944004  912528  959968  525928  548594  520676  520871
81  856667  915718  854580  914879  497155  525696  490845  520785
82  936582  965771  922398  941521  534274  552360  510860  524228
83  980550  994803  907842  991267  581751  564940  542264  575766
84  898025  941470  846261  883391  489419  518170  494721  508717
85  864493  938155  877049  911089  498730  524174  490134  511070
86  882220  912362  881662  919199  518908  544850  504246  521553
87  881566  905328  852613  864519  493020  515222  488773  504392
88  886262  916834  878015  924764  516927  525052  484684  511154
89  878943  927110  902375  923771  506918  529088  495156  502592
90  877619  926728  860287  874639  500914  522715  491662  516029
91  879974  898335  889722  937015  514907  526080  486948  510496
92 1059125 1067001  974095 1047997  608601  614015  581631  589868
93 1000741 1001797  955943  994497  571674  567091  544135  545789
94  895765  956326  921087  958683  541662  531956  499674  516366
95 1037861 1082285 1025123 1014678  562080  564132  549292  554003
96 1028056 1033877 1001119 1044044  603688  600259  552603  557854
97  925290  970037  910563  962775  532559  536463  506522  523942
98  972384 1081894  982094 1031642  563964  581975  525118  556390
