n t_v111 t_v112 t_v121 t_v122 t_v211 t_v212 t_v221 t_v222
10  153781  152643  150973  151676  148265  150169  148690  151303
11  207282  207790  203851  207627  183485  185438  183055  185581
12  271009  270919  264243  269503  218891  223859  218573  224995
13  340426  344111  333947  342130  258234  261306  254989  260464
14  422241  427837  411163  421405  296860  303467  292908  300819
15  523343  531038  514546  525145  346961  353128  342537  349533
16  620796  634645  604936  621728  382870  394866  379319  389843
17  731737  753228  713938  735752  427440  441675  421267  435640
18  839003  867940  823011  848997  465352  481158  456071  473032
19  979369 1013131  952062  993667  514407  531455  498872  522275
20 1122349 1164506 1091431 1140667  560608  583904  547864  575265
