n tv111 tv112 tv121 tv122 tv211 tv212 tv221 tv222
5   30527   28813   29717   29535   55058   54952   54997   55000
6   72650   49460   50748   49736   80280   80147   83626   88222
7   64912   64829   63562   65114   88073   88280   88061   92070
8   81229   81097   79820   79770   95967   97189   97800   98087
9  110112  109452  106821  109180  116698  119764  117691  120989
10  169815  167413  166303  167375  161206  164226  161873  165088
11  208612  207437  203468  206881  181717  186502  182428  189367
12  280106  281833  274201  278195  227551  232030  229180  233037
13  340831  343352  332006  336246  257026  259859  254984  259805
14  412768  417334  402586  414523  291428  295122  286885  295749
15  520235  528524  508304  521136  339734  350794  338260  348034
16  631546  647556  615998  637522  389778  405719  388008  397384
17  771754  793775  754015  781299  454747  463746  444208  458180
18  922226  949672  895170  937459  516750  528373  499636  519114
19 1070141 1108137 1046732 1086474  565339  585472  551723  575200
20 1209043 1260388 1186315 1235908  607516  629232  590460  616626
